                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.68585,                 0.4763,                 1.0753,                0.98969,                0.97329,                0.97966,                0.78993,                0.80859,                0.38836,                 1.0114,             0.00058017,             0.00058017,             0.00058017
                     92,                0.70073,                0.48815,                 1.0772,                0.99194,                0.97998,                0.98095,                0.79818,                0.80295,                0.37772,                0.98689,             0.00057074,             0.00057074,             0.00057074
                     93,                0.71827,                0.46892,                 1.0937,                0.98439,                0.99701,                  0.995,                0.79231,                0.78284,                0.36711,                0.97952,             0.00056131,             0.00056131,             0.00056131
                     94,                0.70824,                0.48044,                 1.0896,                0.99028,                0.98652,                  0.995,                0.76745,                0.85455,                0.38408,                 1.0067,             0.00055188,             0.00055188,             0.00055188
                     95,                0.67103,                0.46056,                 1.0593,                0.97516,                0.99764,                  0.995,                0.78612,                0.81149,                0.37301,                0.98204,             0.00054245,             0.00054245,             0.00054245
                     96,                0.70865,                0.46763,                  1.098,                0.99427,                0.99932,                  0.995,                0.79478,                0.79489,                 0.3673,                0.98206,             0.00053302,             0.00053302,             0.00053302
                     97,                 0.6733,                0.43894,                 1.0573,                 0.9881,                0.99963,                  0.995,                0.80791,                0.78892,                0.36114,                0.97588,             0.00052359,             0.00052359,             0.00052359
                     98,                0.71019,                0.48733,                 1.0937,                0.98939,                0.97917,                0.97721,                0.80413,                0.80355,                0.37531,                0.98112,             0.00051415,             0.00051415,             0.00051415
                     99,                0.71997,                0.47961,                 1.0866,                0.99185,                0.99321,                  0.995,                 0.8009,                0.78034,                0.35072,                0.97962,             0.00050472,             0.00050472,             0.00050472
                    100,                0.70615,                 0.4558,                 1.1068,                0.99024,                0.99653,                  0.995,                0.81183,                0.77326,                0.34845,                0.97828,             0.00049529,             0.00049529,             0.00049529
                    101,                 0.6523,                0.43348,                  1.061,                0.98823,                0.97839,                0.99417,                0.82015,                0.73441,                0.34087,                0.96609,             0.00048586,             0.00048586,             0.00048586
                    102,                0.69053,                0.45241,                  1.076,                0.98651,                 0.9931,                  0.995,                0.79967,                0.77809,                0.34871,                0.99282,             0.00047643,             0.00047643,             0.00047643
                    103,                0.66971,                0.43549,                 1.0725,                0.97826,                0.99058,                  0.995,                0.79156,                0.79442,                0.35193,                0.99416,               0.000467,               0.000467,               0.000467
                    104,                0.67452,                0.43012,                 1.0732,                0.97804,                0.98943,                  0.995,                0.79341,                0.80442,                0.34633,                 1.0099,             0.00045757,             0.00045757,             0.00045757
                    105,                0.64383,                0.41308,                  1.036,                0.98829,                      1,                  0.995,                 0.7915,                0.79466,                0.34567,                  1.006,             0.00044813,             0.00044813,             0.00044813
                    106,                0.64557,                0.42822,                 1.0498,                0.99289,                      1,                  0.995,                 0.8077,                0.77841,                0.35202,                0.99412,              0.0004387,              0.0004387,              0.0004387
                    107,                 0.6348,                0.42399,                 1.0395,                0.99094,                      1,                  0.995,                0.79283,                0.82291,                0.35814,                 1.0168,             0.00042927,             0.00042927,             0.00042927
                    108,                0.65527,                0.42507,                 1.0282,                0.98685,                0.99886,                  0.995,                0.78608,                0.82784,                0.38199,                 1.0181,             0.00041984,             0.00041984,             0.00041984
                    109,                0.63604,                 0.4379,                 1.0585,                0.99386,                0.99813,                  0.995,                 0.7854,                0.84811,                0.36062,                 1.0176,             0.00041041,             0.00041041,             0.00041041
                    110,                0.64963,                0.43189,                 1.0768,                0.99387,                0.99767,                  0.995,                0.78053,                0.85236,                0.36808,                 1.0217,             0.00040098,             0.00040098,             0.00040098
                    111,                0.63931,                0.43431,                 1.0461,                0.99303,                      1,                  0.995,                0.76259,                0.88678,                0.37487,                 1.0364,             0.00039155,             0.00039155,             0.00039155
                    112,                0.63039,                0.40751,                 1.0473,                0.99627,                      1,                  0.995,                 0.7728,                0.87632,                0.37277,                 1.0353,             0.00038211,             0.00038211,             0.00038211
                    113,                0.62193,                0.40257,                 1.0414,                0.99458,                 0.9981,                  0.995,                0.78707,                0.83665,                0.35754,                 1.0178,             0.00037268,             0.00037268,             0.00037268
                    114,                0.63159,                0.40856,                 1.0339,                0.99075,                      1,                  0.995,                0.80137,                0.80514,                0.33868,                 0.9964,             0.00036325,             0.00036325,             0.00036325
                    115,                  0.647,                0.41535,                 1.0585,                0.99162,                      1,                  0.995,                0.79708,                0.81992,                0.35112,                  1.002,             0.00035382,             0.00035382,             0.00035382
                    116,                0.60985,                0.40136,                 1.0349,                0.99216,                      1,                  0.995,                0.81117,                0.79448,                 0.3298,                0.99739,             0.00034439,             0.00034439,             0.00034439
                    117,                 0.6443,                0.42666,                 1.0414,                0.99321,                0.99934,                  0.995,                  0.801,                 0.8002,                0.33395,                0.99364,             0.00033496,             0.00033496,             0.00033496
                    118,                0.60779,                0.38918,                 1.0441,                0.99426,                      1,                  0.995,                0.80056,                0.81025,                0.33266,                0.99339,             0.00032553,             0.00032553,             0.00032553
                    119,                0.63715,                0.41633,                 1.0462,                0.99223,                      1,                  0.995,                0.80545,                0.78772,                 0.3395,                0.99937,             0.00031609,             0.00031609,             0.00031609
                    120,                0.62475,                0.40485,                 1.0393,                0.99321,                      1,                  0.995,                0.79194,                0.81781,                0.34551,                 1.0106,             0.00030666,             0.00030666,             0.00030666
